fold,valid_size,smooth_lambda,raw_valid_rmse,backward_valid_rmse,smooth_valid_rmse,blend_raw_valid_rmse
1,221,30.0,18.368620281051776,21.873240722731275,18.07741587843244,18.272179637204598
2,221,30.0,16.57931793613621,13.269072986886451,16.4954342686311,11.68331633142842
3,220,30.0,17.41576703373742,124.38179057828847,17.278371703839507,17.828081559200914
4,220,30.0,11.574818993415718,23.398372784228133,11.600379178913242,12.631796341889347
5,220,30.0,50.218024135383594,51.802532652067,50.17489470784201,50.19764747720267
6,220,30.0,20.749576646473724,12.201623641920923,20.40588444452943,12.523687643513954
