gamma,template_blend_weight,method,train_rmse,train_violations,test_violations
0.8,0.0,smooth_30,27.00994860739151,0,0
2.0,0.75,none,27.01329757319886,112,21
0.8,0.0,smooth_10,27.01750398772572,0,0
0.8,0.0,smooth_3,27.027035367912916,0,0
0.8,0.0,smooth_1,27.03220834851539,0,0
0.8,0.0,smooth_0.3,27.03517747159396,0,0
0.8,0.0,smooth_0.1,27.036631777794646,0,0
0.8,0.0,cummin,27.03795516196061,0,0
0.8,0.0,none,27.03795516196061,0,0
0.8,0.0,isotonic,27.03795516196061,0,0
0.8,0.5,smooth_30,27.099167161623974,0,0
2.0,0.5,smooth_30,27.106074779049177,0,0
0.8,0.5,smooth_10,27.107130743847677,0,0
2.0,0.5,smooth_10,27.11116404339926,0,0
0.8,0.5,smooth_3,27.116189125985922,0,0
2.0,0.5,smooth_3,27.117277730225496,0,0
0.8,0.5,smooth_1,27.12060734918847,0,0
2.0,0.5,smooth_1,27.120869026107183,0,0
2.0,0.5,smooth_0.3,27.122935919878415,0,0
0.8,0.5,smooth_0.3,27.12304956066067,0,0
2.0,0.5,smooth_0.1,27.123710532376855,0,0
0.8,0.5,smooth_0.1,27.124162678910825,0,0
2.0,0.5,isotonic,27.12437156632226,0,0
0.8,0.5,isotonic,27.125097309512913,0,0
0.8,0.5,none,27.127106476196815,67,7
2.0,0.5,none,27.13017967022237,45,4
1.0,0.75,smooth_30,27.131021375156266,0,0
0.8,0.5,cummin,27.131646210510457,0,0
1.0,0.75,smooth_10,27.144293973444555,0,0
2.0,0.5,cummin,27.1490249241959,0,0
1.0,0.75,smooth_3,27.160175226918767,0,0
1.0,0.75,smooth_1,27.16911070545195,0,0
1.0,0.75,smooth_0.3,27.174345237837347,0,0
1.0,0.75,cummin,27.175027641576126,0,0
1.0,0.75,smooth_0.1,27.176502076324063,0,0
1.0,0.75,isotonic,27.178069336555932,0,0
1.0,0.75,none,27.186401019098923,141,27
0.8,0.75,smooth_30,27.437249705599605,0,0
0.8,0.75,smooth_10,27.45077184958345,0,0
0.8,0.75,smooth_3,27.466965911639864,0,0
0.8,0.75,smooth_1,27.475629478905006,0,0
0.8,0.75,smooth_0.3,27.480575385902156,0,0
0.8,0.75,smooth_0.1,27.48290940200166,0,0
0.8,0.75,isotonic,27.484518622108638,0,0
