fold,valid_size,smooth_lambda,raw_valid_rmse,backward_valid_rmse,smooth_valid_rmse,blend_raw_valid_rmse
1,221,30.0,18.419334164229916,19.304621417884402,18.132758267938502,16.74983488696446
2,221,30.0,16.56387715484893,10.900064016001842,16.4807571312069,9.56879538382455
3,220,30.0,17.386996429128644,123.39358705651145,17.25024011577245,16.772238589008502
4,220,30.0,11.533287326531365,21.557820951160906,11.558667444156642,11.40070785035536
5,220,30.0,50.258476890317446,51.89698080697957,50.21658553082677,50.323287032546304
6,220,30.0,20.74607550794935,12.943511635249557,20.403864873572424,13.042323419133757
